uniprot	degree	degree_centrality	betweenness	closeness	eigenvector	cc
Q9NQ79	3	0.000233681258763	1.31136191489e-06	0.238981681955	0.001049061539	0.0
Q8TBF2	2	0.000155787505842	4.44255730617e-07	0.234223155812	0.000441907782175	0.0
P23409	3	0.000233681258763	5.60679043722e-07	0.239617068244	0.000740794277819	0.666666666667
Q9NQ76	9	0.000701043776289	1.21176708482e-05	0.284056216452	0.0136796072805	0.333333333333
Q9NVL1	2	0.000155787505842	1.36116472279e-06	0.250226587517	0.00190433460943	0.0
O14770	12	0.000934725035052	0.000103752091296	0.264342357963	0.00331097504497	0.0888888888889
P20930	5	0.000389468764605	5.85262975167e-06	0.253282709389	0.00186024398455	0.0
P20933	2	0.000155787505842	0.0	0.0	3.90669309562e-40	0.0
P20936	45	0.00350521888145	0.000860892703675	0.312655960714	0.0250926784041	0.0409745293466
Q9NZV5	5	0.000389468764605	8.43218608776e-07	0.275674529607	0.00916201645052	0.4
P30613	6	0.000467362517526	2.91866216732e-06	0.235128272854	0.000487858556158	0.0
Q15573	6	0.000467362517526	7.95951143804e-06	0.255539774913	0.00144847997474	0.333333333333
Q15572	10	0.00077893752921	4.8385773618e-05	0.268950911458	0.00366081351277	0.133333333333
Q9H999	2	0.000155787505842	0.0	0.0	3.90669309562e-40	0.0
P23919	4	0.000311575011684	2.56178273871e-05	0.248514590049	0.00156086061733	0.0
Q5H9L4	3	0.000233681258763	1.26926173476e-05	0.259063394969	0.00207141365615	0.0
Q8NHX9	5	0.000389468764605	7.32145131924e-07	0.233111711821	0.000388541883863	0.666666666667
Q9NXR8	2	0.000155787505842	4.5113854222e-08	0.237255140767	0.000735957516706	0.0
Q9C0H2	1	7.7893752921e-05	0.0	0.229338465194	0.00032375892513	0.0
Q68DE3	1	7.7893752921e-05	0.0	0.219498694754	0.000136889536542	0.0
Q00535	20	0.00155787505842	0.000198458860438	0.281918345685	0.00648217515363	0.0522875816993
Q9NXR1	25	0.00194734382303	0.000345679106954	0.296918608418	0.0171142341298	0.0909090909091
Q00537	5	0.000389468764605	0.000136173345025	0.277198192078	0.00472213094386	0.1
Q00536	25	0.00194734382303	0.001180164622	0.297922260323	0.0099929386192	0.0158102766798
Q9NXR5	1	7.7893752921e-05	0.0	0.235479327777	0.000344419686073	0.0
Q9NXR7	5	0.000389468764605	3.75309688061e-06	0.250054327058	0.00154717087875	0.5
O00244	8	0.000623150023368	0.000199355913195	0.232704411218	0.000398338543529	0.0
Q92917	22	0.00171366256426	0.000502481806868	0.299942552407	0.0134783701403	0.025974025974
O00241	3	0.000233681258763	3.13184117123e-05	0.241733638967	0.00142347268375	0.0
O00716	14	0.00109051254089	7.52898498785e-05	0.2727141315	0.00360369489591	0.010989010989
Q5H9L2	4	0.000311575011684	6.97577937367e-06	0.244360267911	0.000696555377046	0.0
Q9UBM7	5	0.000389468764605	4.47910265815e-05	0.254303685623	0.00166402821326	0.0
Q9UBM4	1	7.7893752921e-05	0.0	0.249897932324	0.00172216062104	0.0
Q92911	1	7.7893752921e-05	0.0	0.227040519402	0.000232140712678	0.0
Q13835	9	0.000701043776289	2.30425773415e-05	0.26717644931	0.00384625313717	0.194444444444
P40424	6	0.000467362517526	0.000158275738512	0.231876121442	0.000372956606452	0.133333333333
P40425	19	0.0014799813055	0.000527374299385	0.274745673005	0.00439230637473	0.0
P40426	3	0.000233681258763	6.4703915401e-07	0.206469799704	5.72565956868e-05	0.0
P40429	4	0.000311575011684	5.586250416e-06	0.244994567752	0.000782896205449	0.0
Q7Z3T8	3	0.000233681258763	6.27543527701e-06	0.249606518301	0.00122634180229	0.0
Q13838	19	0.0014799813055	0.000231751055814	0.274607198668	0.00417475492191	0.0147058823529
P08842	2	0.000155787505842	0.0	0.0	3.90669309562e-40	0.0
P03891	2	0.000155787505842	1.01934677248e-06	0.252455859769	0.0021189855665	0.0
P48960	2	0.000155787505842	5.39317404892e-06	0.252599503126	0.00191611806147	0.0
P45844	4	0.000311575011684	2.05181945133e-07	0.206068701379	9.09090331267e-05	0.0
P02768	11	0.000856831282131	0.000363110669635	0.267343300514	0.00280048912481	0.0833333333333
P05386	34	0.00264838759931	0.000693600387976	0.298999830922	0.0119213420455	0.0282258064516
P05387	5	0.000389468764605	2.37387742196e-06	0.244654533654	0.000846584034108	0.0
P02760	10	0.00077893752921	6.95474936859e-05	0.272249573495	0.00511548902875	0.0357142857143
P05388	6	0.000467362517526	3.65189891239e-05	0.269331630645	0.00324227217661	0.0666666666667
P02765	5	0.000389468764605	0.000123490614403	0.281547522475	0.00678324468998	0.2
P02766	42	0.00327153762268	0.000831690124442	0.294858905388	0.0119621790065	0.0128205128205
Q7L266	6	0.000467362517526	5.76743871915e-06	0.258493546006	0.00195626934045	0.166666666667
Q9UQ07	3	0.000233681258763	8.02948254053e-06	0.260561359517	0.00204702517483	0.0
Q9UJ70	27	0.00210313132887	0.000792941955262	0.29541846511	0.0104483385139	0.0266666666667
Q9UQ03	3	0.000233681258763	2.34039506485e-05	0.257239827067	0.0016824231662	0.0
Q9UJ72	1	7.7893752921e-05	0.0	0.213596425779	0.000106512266513	0.0
Q15165	2	0.000155787505842	6.65057166931e-06	0.262910252278	0.00314511094658	0.0
Q9UJ78	6	0.000467362517526	3.68148483156e-05	0.281488016857	0.00594424804372	0.0
O15254	1	7.7893752921e-05	0.0	0.232105110506	0.000384227880271	0.0
O15255	2	0.000155787505842	9.56060595445e-06	0.26070303671	0.00226647968844	0.0
Q8N568	2	0.000155787505842	8.76320010466e-06	0.26194502233	0.00248918296704	0.0
Q6ZTI6	1	7.7893752921e-05	0.0	0.244454954151	0.000803123748975	0.0
O15258	3	0.000233681258763	9.52556738639e-07	0.248133898231	0.00104325869723	0.0
O15259	11	0.000856831282131	4.2647653293e-05	0.270309494449	0.00437817009382	0.0363636363636
P20813	2	0.000155787505842	0.0	0.0	3.90669309562e-40	0.0
Q86XA0	2	0.000155787505842	8.71985798959e-07	0.250833997151	0.00138038851445	0.0
P29401	15	0.00116840629382	6.43192576704e-05	0.28589906554	0.0129685885364	0.025641025641
P29400	8	0.000623150023368	1.8220970354e-05	0.27172498406	0.00557291765701	0.0357142857143
Q5VWT5	1	7.7893752921e-05	0.0	0.203604501662	4.59447367734e-05	0.0
Q9H0S4	6	0.000467362517526	6.4405064427e-05	0.28076932966	0.00563705244182	0.266666666667
P39023	20	0.00155787505842	0.000349932457454	0.287821260669	0.012254478968	0.0105263157895
Q5T5X7	6	0.000467362517526	3.55129838079e-06	0.246086025618	0.00157019781347	0.166666666667
Q9H992	11	0.000856831282131	3.46358541726e-05	0.271990111682	0.00534194916963	0.0545454545455
Q9H9Z2	1	7.7893752921e-05	0.0	0.244106472423	0.000861781702795	0.0
Q9H840	12	0.000934725035052	5.8745112437e-05	0.276462952276	0.00407584045632	0.0454545454545
Q96CS2	64	0.00498520018695	0.000958616494763	0.304444890324	0.0392505154317	0.0724484399788
Q96CS3	5	0.000389468764605	2.2152678762e-05	0.249466257817	0.0012883577311	0.1
Q9P219	3	0.000233681258763	1.97486220232e-06	0.248726017219	0.00114947048411	0.0
Q9P218	3	0.000233681258763	7.13078817937e-06	0.252700683515	0.00205268467875	0.0
Q5W111	4	0.000311575011684	4.14346700261e-05	0.240936768278	0.000797035450455	0.0
Q96CS7	15	0.00116840629382	8.4373356977e-05	0.269283225616	0.00481695123191	0.0384615384615
Q9P215	3	0.000233681258763	2.87152945541e-05	0.283585791186	0.00597121724828	0.0
P62807	17	0.00132419379966	0.000128679493046	0.285049207435	0.00895744119938	0.0220588235294
Q9UK11	3	0.000233681258763	4.20563667626e-06	0.250571821432	0.00323662944823	0.0
P62805	59	0.00459573142234	0.00198515144944	0.298962543569	0.0118080984018	0.0403272939801
Q9UK17	3	0.000233681258763	0.0	0.188444916077	8.085912609e-06	0.0
Q8N6K7	7	0.000545256270447	1.36425280284e-05	0.268114707358	0.00330770911757	0.047619047619
Q92833	2	0.000155787505842	0.0	0.238520400801	0.000571140061158	1.0
Q92832	15	0.00116840629382	0.000419140849272	0.276890834415	0.00432941268971	0.00952380952381
Q92831	32	0.00249260009347	0.000423896302305	0.296984817567	0.0117262630617	0.0528735632184
Q92830	12	0.000934725035052	0.000211449473178	0.269126029364	0.00307718079628	0.0
Q92837	1	7.7893752921e-05	0.0	0.246993699193	0.00101124876287	0.0
Q9H3M9	3	0.000233681258763	0.0	0.255131842447	0.00180377704835	0.0
Q92835	15	0.00116840629382	0.000224258391711	0.278712865855	0.0119939554081	0.0285714285714
P00540	44	0.00342732512852	0.00122363999109	0.313219687524	0.0358946104607	0.0644820295983
Q969K7	2	0.000155787505842	3.18935585992e-06	0.238510908585	0.000455234712731	0.0
Q969K4	4	0.000311575011684	1.18368696647e-05	0.263749075227	0.00202918321105	0.166666666667
Q9H3M7	13	0.00101261878797	4.19912140204e-05	0.270285113688	0.00332268532248	0.0
Q9H3M0	4	0.000311575011684	7.52164949974e-05	0.221867327247	0.000161261714298	0.0
Q969K3	9	0.000701043776289	5.37254919589e-05	0.269186467737	0.00335157238964	0.0555555555556
Q08462	1	7.7893752921e-05	0.0	0.205176293145	6.11224877313e-05	0.0
Q9Y6E2	4	0.000311575011684	2.14011493131e-05	0.26139093752	0.00240876108596	0.166666666667
Q8TAL5	2	0.000155787505842	1.18779397199e-08	0.208651375537	0.000117727114634	0.0
Q9Y6E0	32	0.00249260009347	0.000502554129456	0.292791817627	0.010210056595	0.064367816092
