UniRef50_Q96AZ6	A0A024RC76; K7CFV6; Q96AZ6; G3R4B5
UniRef50_C9J827	C9J827
UniRef50_L8E8K5	L8E8K5
UniRef50_D3DSA9	D3DSA9
UniRef50_O43749	O43749; Q8NH06; UPI0005CFFA7B
UniRef50_H3BTS6	H3BTS6
UniRef50_F1M8S9	
UniRef50_P01857	Q5EFE5; Q6MZQ6; Q6MZX7; UPI0001C59212; Q6N096; Q6MZU6; P01834; Q7Z351; A0A087WSX2; Q6N089; A0A087WYC5; V9HW68; A0A0G2JNK4; Q68CN4; Q6N097; S6B291; Q6N095; A0A0B4J1U8; A0A087X079; A0A087X1C7; Q6N093; Q6N094; UPI000493B580; Q6MZV7; Q6GMX6; A0A0B4J1V0; UPI000493B590; Q8NF17; A8K008; P01857; A0A087WV47
UniRef50_D6R9L4	D6R9L4
UniRef50_O75840-4	UPI0004F08782; C9JX20
UniRef50_E9PND1	E9PND1
UniRef50_E5RIP9	E5RIP9; E5RJC2
UniRef50_I7J498	E9PRA5
UniRef50_A0A087WTA9	A0A087WTA9
UniRef50_Q6ZV86	Q6ZTG4; Q6ZV86
UniRef50_H9FJH4	
UniRef50_Q9UI10	Q9UI10; A0A087WTA5; UPI0000EE22D8; UPI0000E1F2EC; Q71US4; E7ERK9
UniRef50_Q9BUV8	K7DMK7; Q9BUV8; Q9BZT8; K7AWS1; Q9BUV8-5
UniRef50_Q9WTJ2	A8K6P6; O14753; G3V1B0
UniRef50_L8ECE5	L8ECE5
UniRef50_B4DJM9	B4DJM9
UniRef50_H0UWR1	UPI0005D0020A; E9PQZ6; E9PL92; E9PKM6; B3KU20; H0YCB3
UniRef50_L8E9U6	L8E9U6
UniRef50_H0UI26	H0UI26
UniRef50_H3BSX9	H3BSX9
UniRef50_P20489	F6YWM7; G7NWB2; Q8WYP6; Q6GU38; P12319
UniRef50_Q8J001	Q8J001; Q8J000; Q8IZZ9
UniRef50_G3WX43	Q96MS1
UniRef50_H0VMY1	A0A087WTD7
UniRef50_H0Y3R5	H0Y3R5
UniRef50_A0A060WPH7	
UniRef50_F6TZH6	Q9BYS0; UPI0002746C77
UniRef50_Q6GMY7	Q6PJ79; Q6GMY7; Q6PD56
UniRef50_H2S3A7	
UniRef50_H2RI05	B7Z8E6
UniRef50_D3ZFD9	B6ZGR8; A0A096NAQ9; F1D8S6; H2QM72; H9FBR1; C9JLJ1; C9J7E1; A8K7L7; P10826-2; A0A0D9SFS8; A0A068L529
UniRef50_I3LV51	V9GY48
UniRef50_E7EMF1	E7EMF1
UniRef50_J3QRY3	J3QRY3
UniRef50_F8WDA6	F8WDA6
UniRef50_F8SNU6	F8SNU6
UniRef50_D6RGI5	D6RGI5
UniRef50_H2NBX8	Q8N9J6
UniRef50_D6RI90	B4DSP4
UniRef50_UPI00026B6FD3	
UniRef50_P82663	E7EPW2; G3R5Y9; H2QM45; P82663; Q96Q22
UniRef50_F8VQX5	F8VQX5
UniRef50_A0A0S7L188	Q9NW71
UniRef50_H7BZD1	H7BZD1
UniRef50_H2QZX5	M0R248
UniRef50_B5G1P1	Q96FT9-2; A0A024R6A9
UniRef50_E9PNA9	F8W6C6; E9PNA9
UniRef50_UPI0005CFF70D	
UniRef50_Q9NQ41	Q9NQ41
UniRef50_Q5T0U0	B7ZMJ0; Q5T0U0
UniRef50_A8K2U0	H0YGG5; B3KVV6; A8K2U0
UniRef50_G7NLL6	
UniRef50_Q12756-2	G3SJN5; Q05BI6; G1UI30; Q3UUN4; F8W8V9; UPI000454224C
UniRef50_P10809-2	
UniRef50_Q6DN14-2	UPI000387B0FA; D6RC97; D6R8Z9; Q6DN14-2
UniRef50_Q5HYF5	Q5HYF5
UniRef50_M0QX51	M0QX51
UniRef50_Q922R5-2	H0YIY8
UniRef50_Q9BSC4	B4DS83; H2QHF7; UPI0002064E3B; Q9BSC4
UniRef50_H2P3R5	Q8N647
UniRef50_Q4G0V3	Q4G0V3
UniRef50_A0A0D9SFV8	A0A0D9SFV8
UniRef50_A0A096W714	A0A096W714
UniRef50_G3WNC6	Q3B825
UniRef50_Q8IXH0	Q8IXH0
UniRef50_P01266	Q9NYD9; E5RG33; B2RU26; UPI0002746A98; G3S7H8; P01266; UPI0004F491F4; Q9NYM1
UniRef50_Q5VTD9	Q5VTD9
UniRef50_Q9Z2H7	K7ESN1; UPI0005F4A9EA; K7EIT0
UniRef50_E5RFE8	E5RFE8
UniRef50_P11047	G3S795; R4GNC7; A0A024R972; P11047
UniRef50_Q99935	A0A087X0P7; Q99935
UniRef50_B3Y1X7	B3Y1X7
UniRef50_Q8C9H6-4	
UniRef50_Q86WU2	Q86WU2
UniRef50_F7IPW0	Q6ZP86
UniRef50_Q9C098	Q9C098; B3KVM3
UniRef50_A0A087X221	A0A087WXR1; A0A087X221
UniRef50_F7H6S7	Q8N7B2
UniRef50_H0ZGN1	I3L3T4; I3L367
UniRef50_Q9GZV9	Q9GZV9
UniRef50_Q15327	A8K4J5; Q15327
UniRef50_Q6P6B1	Q6P6B1
UniRef50_Q8WW46	Q8WW46
UniRef50_Q9P154	Q9P154
UniRef50_B7ZAZ8	B7ZAZ8
UniRef50_O15021	O15021-2; J3QT34; B4DSE5; C9JKM7; O15021; C9J249; UPI00042AE89A; B4DKT8; E7EWQ5; UPI000020C853
UniRef50_O43237-2	E9PHI6; B4DDM4
UniRef50_A4D251	H2R9X1; A4D251
UniRef50_Q8K0T4	UPI0003EAF1D9; Q9BW62; B3KUK7; Q5T558; K7DPJ4; A0A024RDP8; B2RDY3; A2A3H2
UniRef50_Q86YL8	Q86YL8
UniRef50_Q13425	UPI0002ADA4C4; Q13425; G1R088; A0A024R732
UniRef50_I3L531	I3L531
UniRef50_H0YE76	H0YE76
UniRef50_Q863H3	F5H2B7; UPI0003EB0376
UniRef50_Q07603	Q07603
UniRef50_Q6DCA0	Q6DCA0; I3M6A7; M3YZ20; UPI0006432C2F; G7NB54; A0A024RAG1; H2QIP5; G7PLH1; U6CSX1; M1EBM3; U3B939; G1S0X0; Q5RDQ3
UniRef50_Q9C029-1	B2RBZ0
UniRef50_Q9Y6L6	Q9NPD5; F5H8K0; Q9Y6L6; A0A024RAX6; F5H094; K4P403; Q5JAR5; Q7Z454; A0A024RAU7; B3KP78; Q9NPD5-2; G3V0H7; A0A0A6YYJ9
UniRef50_Q8NEE0	Q8NEE0
UniRef50_Q6RUI8	A0A024R4G9; M0R1Y9; Q6RUI8; M0QZC8; M0R1J5; M0QXL0; M0R3D1
UniRef50_Q59GR5	Q59GR5
UniRef50_Q6ZWL3	Q49AA5; Q6ZWL3
UniRef50_A0A024R8W2	A0A024R8W2
UniRef50_P61599	W6FH38; F6Q7L8; E9Q023; H0X510; A0A0D9RGA5; G5CBB8; L8IXA8; G3GVV3; W5NVF7; G1L079; H0UWK2; G7N327; Q2PFM2; M3XQ68; H2P152; P61600; G3QNP5; G9KCD1; P61599; M3XDJ0; UPI0005F55C8E; A0A091DFK6; H2QK14; A0A096NVP9; D2HCJ5; R0KUP7; G7PH27
UniRef50_A0MJX6	A0MJX6
UniRef50_R4GNA9	R4GNA9
UniRef50_G3WF30	H0YAQ1; H0YAQ3
UniRef50_E9PD01	E9PD01; B4DJ08
UniRef50_A0A0J9YY01	
UniRef50_B6EC89	A5YRU3; B6EC89; A5YRU1
UniRef50_Q8BL03	Q8N8R3
UniRef50_Q9BXJ9	Q9BXJ9; B2RBE5; A0A0B4J1W3; I3MPA6; A4FU51; UPI0000D4751B; Q6N069; H9F1X2
UniRef50_O15037	G3V3G3; A8K6L5; D3DS77; UPI0005D0344A; G3V331; O15037
UniRef50_M3ZMZ7	D3DVG2
UniRef50_F6ZEP1	H0YAE2
UniRef50_G3RAS6	K7EPF2; UPI00029D93BA
UniRef50_UPI0005D03B32	
UniRef50_E7EMV9	B7Z5H5; E7EMV9
UniRef50_A0A096N3G9	UPI0004F095DF; Q5SBK5
UniRef50_B4DJR6	B7Z449; B4DJR6
UniRef50_Q9P0J6	Q9P0J6; UPI0004F03D26; D6RB74; H2QQL3
UniRef50_Q6IPR3	Q6IPR3; V9GY40; V9GZ67
UniRef50_P10635	D5KN01; Q2XND3; A0A0F7L0X4; Q2XND0; D5KMS0; D5KMU5; Q38LG2; Q007T8; D5KMZ1; D5KMQ2; Q59FG8; Q6NWU0; Q38LG0; D5KNB5; D0U5L8; D5KN10; D5KN50; A0A0G2JRU3; A0A0G2JNM9; A0A0G2JSD7; W5QSH4; A0A0G2JMD2; P10635; A0A0F7KYR9; A0A0G2JQS4; C1ID52; Q2XND8; A0A0G2JPK8; D5KND2; D5KMR1; Q3KPF3; D5KN64; Q007T9; A0A0F7KZW3; G9CGD2; A0A087X1C5; I1VC92; Q2XND2; Q38LF9; E7ENE7; Q16753; D5KMU6; D5KN61; C1ID54; Q16804
UniRef50_Q9QUS6	Q6GX22; Q9UJV3-2; K7CXM7
UniRef50_A0A024R5Q9	A0A024R5Q9
UniRef50_Q9NZ69	Q9NZ69
UniRef50_Q9BU70	Q9BU70; Q5T114
UniRef50_G3IAI2	
UniRef50_G5ATK1	J3KSI8
UniRef50_P61244-5	
UniRef50_UPI000387C122	
UniRef50_P01744	O95978; Q96QS0; Q9Y298; P01744
UniRef50_Q7SYN2	Q05DC0
UniRef50_A0A087X220	A0A087X220
UniRef50_P30626	G7P1V3; UPI00045E0F29; P30626; Q75MZ6; B7Z322; H2QUW0; H9F836; Q5R4U9; K7DAF9; F7GSM8; Q5RB53
UniRef50_P31358	P31358; V9HWN9; Q9UJ81; Q6IBD0
UniRef50_UPI000387BF93	
UniRef50_Q9Y4J8-3	A0A024RC32; Q9Y4J8-4
UniRef50_H7C082	H7C082
UniRef50_UPI0005D000ED	
UniRef50_E9PQS2	E9PQS2
UniRef50_A0A087X0V6	A0A087X0V6
UniRef50_U3IDF9	Q6ZUD6; B0YJ65
UniRef50_G3CIG4	G3CIG4
UniRef50_Q5T0A1	Q5T0A1; E9PI09
UniRef50_F7I2L4	H3BTE1
UniRef50_Q8WUU5	Q8WUU5
UniRef50_B6DP72	B6DP72
UniRef50_E9PB77	E9PB77
UniRef50_L8EAQ8	L8EAQ8
UniRef50_F6SCQ4	B4DW12
UniRef50_Q6IC83	Q6IC83; UPI000387DE43
UniRef50_F6XTB1	H7C121
UniRef50_D3ZN60	
UniRef50_L5KUH8	H3BST8; S9XSE2; H3BUK1
UniRef50_J3KSB8	UPI0005D01631; J3KSB8
UniRef50_U3KM30	
UniRef50_Q6NXP0	B3KXU6; Q6NXP0
UniRef50_E5RGA5	E5RGA5
UniRef50_P56385	P56385; G3QSI0; H2QP27
UniRef50_G5BCF6	G3V2H6; L9L764; UPI000523C6C0; G3V4M8
UniRef50_Q8BV57	A1L4H1
UniRef50_G3UXT7	F6Z264; Q70T18
UniRef50_L8ECD3	L8ECD3
UniRef50_X6R368	X6R368
UniRef50_S9X0N3	S9X0N3; J3KRT0
UniRef50_A0A0S2Z5F8	
UniRef50_H7C049	H7C245; H7C049
UniRef50_B9TX28	B9TX28
UniRef50_Q8BZJ7-2	B4DM76
UniRef50_Q9H2H8	H2P891; J9NZK4; G3SGD0; A0A024R3V4; F7D8B0; I3MZ16; G1SZR4; M3W3Y9; G1LH44; K7BHK8; F2Z5T7; Q9H2H8; H7BZ14
UniRef50_Q7TN73	C9JDR3; Q8WZ77; B2RAS9; UPI00045DA541; UPI0000EE5789; Q96PB1
UniRef50_O95870	A8K0A4; B3KNX9; A0A0G2JJD3; O95870; A0A0G2JI89; O95870-2
UniRef50_F7GV98	H0Y750; B7Z1I9
UniRef50_H0Y340	H0Y340
UniRef50_Q92832	B3KXR2; A0A024R0X1; F8VRQ0; F8W1A2; K9UUD5; Q99435; F8VVB6; F8W1I8; J3KNC5; UPI0004DFFF73; Q92832; Q99435-3; B7Z625; Q99435-4; F8VXR5
UniRef50_Q8WY71	Q8WY71
UniRef50_I3LXF8	Q59GU2
UniRef50_H0YJF5	H0YJF5
UniRef50_H0VZH8	Q0VAB0; K7ER80
UniRef50_E5RH28	E5RH28; UPI0005121023
UniRef50_Q9Y4J8-14	UPI0004F0111E; O60941-6; K7ESB2; Q1I0L3; UPI0004F0376C; B7Z3X3; Q9Y4J8-13; M0QZ28
UniRef50_F7GR62	O95485
UniRef50_Q7Z5L7	Q7Z5L7; Q7Z5L7-3; UPI000013F2FD
UniRef50_H3BQF3	H3BQF3
UniRef50_E5RHW7	E5RIP2; E5RHW7
UniRef50_H2RFZ7	B8Q177
UniRef50_Q16495	Q16496; Q16495
UniRef50_UPI0005D01BBF	
UniRef50_H3BRR3	H3BRR3
UniRef50_H3BP92	H3BP92
UniRef50_P61550	P61550
UniRef50_P51681	H9MHK7; B8LFP0; A0A089G3M8; A0A089G3K0; A0A089H960; A0A089G3M5; A0A089G5S5; J7HGK0; Q96T97; B0EX00; Q9UBT9; H9MHP6; B2KIU2; A0A089G7G7; A0A089G6S0; A0A089H976; Q9UBJ7; A0A089G7J0; Q9TQU4; Q5KSY4; A0A089H987; A0A0D9SBQ8; A0A089G6S9; A0A089G5R2; A0A089G3K4; J7HJP8; A0A089G3J8; A0A089G6Q9; H9MHP4; J7HKA4; A0A089G6S3; P51677; P51677-2; A0A089G5R6; Q9UN27; J7HJP1; A0A089G3P4; B2KIU1; Q9UN23; UPI00045E2590; Q549B2; A0A089H970; A0A089G7H7; Q9UN28; A0A089G7H9; Q71TZ1; A0A089G3N4; Q9TQU5; A0A089G6P0; A0A089H989; A0A089G7J6; A0A089G6R5; B2KKJ9; A0A089G7J3; Q9UN25; E7BJ57; L7S2Y4; B0EX01; A0A089H947; A0A089G6S6; Q5QIP0; Q9P1T4; A0A089G7G0; J7HDH6; Q8TDP5; A0A089G6R7; A0A089G3N1; B8LFN8; A0A024R2Z3; A0A089G5M8; Q5QIP1; Q3L3Q6; A0A089G5R7; Q96T96; A0A089G5N2; H9MHP8; A0A089H953; A0A089G3L9; J7HDE9; B2KIU0; H9MHP3; Q5QIN9; A0A089G3M1; A0A089G5S8; P51681; O14694; A0A089H983; Q9UN24; Q5EKM8; H9MHP5; A0A089G7F7; Q5EKN0; H9MHP9; Q9TQR2; Q95NE8; Q8TDP8; A0A089H9A2; A0A089G7G9; Q9UN26; Q5EKM9; Q71TZ0; A0A089G6P4; A0A089G5Q8; P56439; A0A089H978; A0A089H974; Q38L21; Q8TDP4; A0A089H958; A0A089G3P0
UniRef50_A0A096LPB4	A0A096LPB4
UniRef50_Q15768	Q15768
UniRef50_H7C350	UPI0000161164; H7C350
UniRef50_F8WBY9	F8WBY9
UniRef50_A6PVX1	A6PVX1
UniRef50_Q5TA78	Q5TA78
UniRef50_B4E151	B4E151
UniRef50_K7ENI3	K7ENI3
UniRef50_Q8BX22-3	Q6Y8G5
UniRef50_E5RFG1	E5RFG1
UniRef50_Q8TC20	Q8TC20; Q8TC20-2
UniRef50_Q96HQ2-2	
UniRef50_B4DYY3	E9PMB7; B4DYY3
UniRef50_A0A0S2Z5T3	
UniRef50_A6NGW4	A6NGW4; B4DSH7
UniRef50_P25445-7	A0A087WTM9; H7C5Z8; F0UWG7; E6Y7C3; A0A087X1Z7; A0A0D9SEP1; B6VNV5; E6Y7C4
UniRef50_UPI0005D00561	
UniRef50_Q8N1B4	B4DS44; UPI0000470270; Q7LA74; UPI0003ADA694; A0A0G2JIG2; Q8N1B4; A0A024RCY1; H2QSS8; Q8N1B4-2; A0A024RCT2; A0A091DK03; Q5TJF2
UniRef50_E5RHD3	Q5RB62; E5RHD3
UniRef50_Q9BZ71	A1A5C9; Q9BZ71
UniRef50_Q9UHX3-6	
UniRef50_H0YB15	H0YB15
UniRef50_Q15283	Q15283; A0A0A0MSJ9; Q59GE8; UPI0005CFF00A
UniRef50_G8CXT7	G8CXT7; G8CXN1
UniRef50_Q9BRN4	Q9BRN4
UniRef50_F7IIS3	A7UNU6
UniRef50_M3Z503	A4D2P5
UniRef50_Q9NU23	Q9NU23; G3V136
UniRef50_H0YBL9	H0YBL9
UniRef50_F6Z9G6	B7Z9C4
UniRef50_P04431	Q96SA9; Q9UL77; P04431; A2NYV3; P04432
UniRef50_C9JB84	C9JB84
UniRef50_Q1AHR6	Q1AHR6
UniRef50_Q5RHS7	Q5RHS7
UniRef50_H0Y8T4	H0Y8T4
UniRef50_V9GY13	V9GY13
UniRef50_P51553-2	G5E9Q7; K7BN28
UniRef50_H7BXQ8	C9J5N7; H7BXQ8
UniRef50_G3R937	
UniRef50_UPI0005D01521	
UniRef50_O43930	O43930; A0A024R177
UniRef50_B4DMY2	B4DMY2
UniRef50_Q7RTU4	Q7RTU4
UniRef50_M3WUA4	I3L393; B4DI35
UniRef50_Q6ZN92	Q6ZN92
UniRef50_Q5JW45	Q5JW45
